observed_on,county,month,year,site,scientific_name,taxon_genus_name,taxon_family_name,taxon_suborder_name
6/12/2019,Wayne,6,2019,C,Erythemis simplicicollis,Erythemis,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Celithemis elisa,Celithemis,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Celithemis elisa,Celithemis,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Celithemis elisa,Celithemis,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Celithemis elisa,Celithemis,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Celithemis elisa,Celithemis,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Celithemis elisa,Celithemis,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Anax longipes,Anax,Aeshnidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Anax longipes,Anax,Aeshnidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Anax longipes,Anax,Aeshnidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Ischnura posita,Ischnura,Coenagrionidae,Zygoptera
6/12/2019,Wayne,6,2019,C,Ischnura posita,Ischnura,Coenagrionidae,Zygoptera
6/12/2019,Wayne,6,2019,C,Ischnura posita,Ischnura,Coenagrionidae,Zygoptera
6/12/2019,Wayne,6,2019,C,Ischnura posita,Ischnura,Coenagrionidae,Zygoptera
6/12/2019,Wayne,6,2019,C,Ischnura posita,Ischnura,Coenagrionidae,Zygoptera
6/12/2019,Wayne,6,2019,C,Ischnura posita,Ischnura,Coenagrionidae,Zygoptera
6/12/2019,Wayne,6,2019,C,Ischnura posita,Ischnura,Coenagrionidae,Zygoptera
6/12/2019,Wayne,6,2019,C,Libellula luctuosa,Libellula,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Libellula luctuosa,Libellula,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Tramea lacerata,Tramea,Libellulidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Epitheca princeps,Epitheca,Corduliidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Epitheca princeps,Epitheca,Corduliidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Epitheca princeps,Epitheca,Corduliidae,Anisoptera
6/12/2019,Wayne,6,2019,C,Celithemis fasciata,Celithemis,Libellulidae,Anisoptera
